numero,variable,region,surprisal
1,0_NoMM,1,8.36261427960306
1,0_NoMM,2,18.782704604958262
1,0_NoMM,3,13.328595206502532
1,0_NoMM,4,16.050595196372317
1,0_NoMM,5,20.39965432291315
1,0_NoMM,6,16.755347854921435
1,0_NoMM,7,16.92886321623779
1,0_NoMM,8,16.591605984964385
1,0_NoMM,1,4.531813005338555
1,0_NoMM,2,14.882679354281343
1,0_NoMM,3,15.103851571868784
1,0_NoMM,4,16.00286497810406
1,0_NoMM,5,20.523343769568317
1,0_NoMM,6,18.3600258752306
1,0_NoMM,7,14.39863565963937
1,0_NoMM,8,15.313350620328237
1,0_NoMM,1,2.688248775230136
1,0_NoMM,2,13.204258462283635
1,0_NoMM,3,23.51153353730253
1,0_NoMM,4,17.78697174566053
1,0_NoMM,5,24.77248570176962
1,0_NoMM,6,18.045160196395763
1,0_NoMM,7,19.784738374766242
1,0_NoMM,8,15.570652261090887
1,0_NoMM,1,3.9140342247530953
1,0_NoMM,2,14.314263745714683
1,0_NoMM,3,6.8267245424300445
1,0_NoMM,4,15.452477048251342
1,0_NoMM,5,28.90939342533518
1,0_NoMM,6,12.132124136377698
1,0_NoMM,7,18.31617577292653
1,0_NoMM,8,16.26604607402847
1,1_typ,1,1.815902989806081
1,1_typ,2,12.628328228134064
1,1_typ,3,23.572970725046048
1,1_typ,4,20.233229591896315
1,1_typ,5,24.54624169090503
1,1_typ,6,15.869126735302611
1,1_typ,7,16.073073096600652
1,1_typ,8,14.876652455103443
1,1_typ,1,2.651239298155614
1,1_typ,2,14.347974117371106
1,1_typ,3,18.921831108904097
1,1_typ,4,14.383381947680633
1,1_typ,5,21.787326847473725
1,1_typ,6,16.81807312677002
1,1_typ,7,16.916951354874904
1,1_typ,8,16.244256252898897
1,1_typ,1,4.551888611062153
1,1_typ,2,11.491460953942706
1,1_typ,3,17.617056899605156
1,1_typ,4,15.815410788946629
1,1_typ,5,24.033294160710295
1,1_typ,6,13.698631078883167
1,1_typ,7,19.685526007671776
1,1_typ,8,16.34174078518962
1,1_typ,1,2.409029715680963
1,1_typ,2,12.585867069021829
1,1_typ,3,9.664273003254946
1,1_typ,4,14.44852453711112
1,1_typ,5,30.519959417227778
1,1_typ,6,17.804936788373745
1,1_typ,7,14.503013262465089
1,1_typ,8,15.38002757799708
1,1_per,1,1.76103904617566
1,1_per,2,13.744233166700413
1,1_per,3,24.620768795607585
1,1_per,4,19.026494432327784
1,1_per,5,21.786812994602926
1,1_per,6,16.554988312496484
1,1_per,7,14.290258711793967
1,1_per,8,15.723021570889795
1,1_per,1,3.0888431192734638
1,1_per,2,9.409589413738026
1,1_per,3,18.8992804022461
1,1_per,4,17.73351067593921
1,1_per,5,28.788753923125167
1,1_per,6,19.21714592481621
1,1_per,7,18.930515977940253
1,1_per,8,15.641098001304888
1,1_per,1,3.9172803378792502
1,1_per,2,14.718400164471744
1,1_per,3,10.50479772870161
1,1_per,4,19.31255276354187
1,1_per,5,27.295749210211095
1,1_per,6,10.413139601104643
1,1_per,7,15.603514503158873
1,1_per,8,16.360655647692347
1,1_per,1,2.413399778488472
1,1_per,2,15.785720608317677
1,1_per,3,0.0421346321854603
1,1_per,4,10.378685886599808
1,1_per,5,22.01595093319685
1,1_per,6,17.121710113686028
1,1_per,7,18.37749992895625
1,1_per,8,16.554063333487257
1,1_num,1,5.182588562600604
1,1_num,2,13.40953287448957
1,1_num,3,16.602558023644278
1,1_num,4,16.16943169981082
1,1_num,5,20.768308291972936
1,1_num,6,19.09892053063758
1,1_num,7,16.084003766000066
1,1_num,8,15.070138065921576
1,1_num,1,3.8780585147512276
1,1_num,2,17.724899243476347
1,1_num,3,22.941469969375817
1,1_num,4,13.93240004275828
1,1_num,5,15.145883894828897
1,1_num,6,17.187361433856903
1,1_num,7,14.428528327119752
1,1_num,8,15.350794156235951
1,1_num,1,4.275951061207329
1,1_num,2,14.716738091309862
1,1_num,3,6.788673407457108
1,1_num,4,17.19412951113
1,1_num,5,27.74165235933003
1,1_num,6,22.028433643111427
1,1_num,7,17.227549800386154
1,1_num,8,16.021541423206052
1,1_num,1,1.8765547247955843
1,1_num,2,13.590381692389332
1,1_num,3,22.349587287989394
1,1_num,4,18.59312873278796
1,1_num,5,23.712568860683803
1,1_num,6,14.421429327787976
1,1_num,7,14.83665160067074
1,1_num,8,15.908766403950306
1,1_gen,1,3.6409637686299097
1,1_gen,2,17.38281225312254
1,1_gen,3,16.815768722793212
1,1_gen,4,13.057085543626368
1,1_gen,5,27.765333695455517
1,1_gen,6,8.429033239685856
1,1_gen,7,16.9306195638139
1,1_gen,8,15.169565645456766
1,1_gen,1,4.254788539628099
1,1_gen,2,18.50560948005983
1,1_gen,3,16.977578169555127
1,1_gen,4,13.377138256154003
1,1_gen,5,20.468851309354346
1,1_gen,6,7.924261360158777
1,1_gen,7,15.731055722072462
1,1_gen,8,15.107149926410516
1,1_gen,1,4.297455057595585
1,1_gen,2,16.422329386419914
1,1_gen,3,16.37674116834509
1,1_gen,4,16.315502192624297
1,1_gen,5,23.065889478679196
1,1_gen,6,21.43513740493651
1,1_gen,7,17.398658104892238
1,1_gen,8,15.485781258154077
1,1_gen,1,2.4154783008199243
1,1_gen,2,14.178448362170808
1,1_gen,3,24.513701631508454
1,1_gen,4,18.347371735431267
1,1_gen,5,28.152961106401946
1,1_gen,6,21.33283549585612
1,1_gen,7,15.671535434291064
1,1_gen,8,16.11423884337773
1,2_Typ+Num,1,3.364404309702944
1,2_Typ+Num,2,11.961932182206498
1,2_Typ+Num,3,7.782589811629445
1,2_Typ+Num,4,16.14227579189129
1,2_Typ+Num,5,29.035223682080233
1,2_Typ+Num,6,18.8205558551886
1,2_Typ+Num,7,16.31445193654139
1,2_Typ+Num,8,14.810986711088095
