numero,variable,region,surprisal
1,1_G_Head,5,10.827735333837559
1,1_G_Head,6,15.95636071710275
1,1_G_Head,7,21.251537685962564
1,1_G_Head,8,17.245971494738406
1,2_Head,1,2.5511488075067095
1,2_Head,2,8.964077827681614
1,2_Head,3,14.49033467617476
1,2_Head,4,15.946220249318952
1,2_Head,5,11.242242861245764
1,2_Head,6,15.884673711865464
1,2_Head,7,21.42602940220628
1,2_Head,8,17.660682638645405
1,0_Head,1,4.254524159833513
1,0_Head,2,10.221244263536406
1,0_Head,3,16.41300472126399
1,0_Head,4,15.129873312281383
1,0_Head,5,22.717545415520153
1,0_Head,6,12.868229684461312
1,0_Head,7,21.687287765444566
1,0_Head,8,17.0386615931916
1,1_N_Head,1,2.5397582266282392
1,1_N_Head,2,10.451820249115249
1,1_N_Head,3,12.832535147427356
1,1_N_Head,4,15.992022324795322
1,1_N_Head,5,22.825926631966784
1,1_N_Head,6,12.527825190336104
1,1_N_Head,7,24.084002763383605
1,1_N_Head,8,16.809983059547474
1,2_Embedd,1,4.248340922222151
1,2_Embedd,2,10.736434065055718
1,2_Embedd,3,14.892067324776185
1,2_Embedd,4,17.95532406508462
1,2_Embedd,5,3.0264030839538663
1,2_Embedd,6,9.370533982255905
1,2_Embedd,7,21.959007848774405
1,2_Embedd,8,16.481089244583313
1,1_G_Embedd,1,3.191460554748903
1,1_G_Embedd,2,9.342753195803892
1,1_G_Embedd,3,16.408538716922084
1,1_G_Embedd,4,15.156888823145586
1,1_G_Embedd,5,2.7941345785270837
1,1_G_Embedd,6,9.662176823766382
1,1_G_Embedd,7,21.033161376499194
1,1_G_Embedd,8,16.841025195037837
1,1_N_Embedd,1,3.942654710258962
1,1_N_Embedd,2,9.848987798041769
1,1_N_Embedd,3,15.148315285996553
1,1_N_Embedd,4,17.08423429513645
1,1_N_Embedd,5,6.063261609779209
1,1_N_Embedd,6,17.767689457027416
1,1_N_Embedd,7,22.41030474088869
1,1_N_Embedd,8,15.300829913569599
1,0_Embedd,1,3.3670151166544926
1,0_Embedd,2,9.831450598127653
1,0_Embedd,3,10.630712310840229
1,0_Embedd,4,14.318156912515027
1,0_Embedd,5,7.18430634572663
1,0_Embedd,6,16.28109739207782
1,0_Embedd,7,22.517379857187464
1,0_Embedd,8,15.419779392749698
1,1_N_Embedd,1,4.144254565337678
1,1_N_Embedd,2,10.931198437609101
1,1_N_Embedd,3,14.892067324776185
1,1_N_Embedd,4,17.425697632467827
1,1_N_Embedd,5,2.895396767708191
1,1_N_Embedd,6,9.43205378586325
1,1_N_Embedd,7,21.20204257993507
1,1_N_Embedd,8,16.235162315943125
1,0_Embedd,1,3.061583545810719
1,0_Embedd,2,9.469441018291855
1,0_Embedd,3,16.408538716922084
1,0_Embedd,4,15.140368157204993
1,0_Embedd,5,2.8363179274346884
1,0_Embedd,6,9.331801879318347
1,0_Embedd,7,20.965452885287135
1,0_Embedd,8,16.995940734138618
1,2_Embedd,1,4.082399833002321
1,2_Embedd,2,10.138858936389886
1,2_Embedd,3,15.148315285996553
1,2_Embedd,4,15.527360842166907
1,2_Embedd,5,6.037798456086468
1,2_Embedd,6,18.116004949536226
1,2_Embedd,7,22.007341842844337
1,2_Embedd,8,15.160062733917474
1,1_G_Embedd,1,3.1736754499842825
1,1_G_Embedd,2,9.807084612153107
1,1_G_Embedd,3,10.630712310840229
1,1_G_Embedd,4,14.119116793933735
1,1_G_Embedd,5,6.746770403358398
1,1_G_Embedd,6,16.760743389445626
1,1_G_Embedd,7,22.3519700970447
1,1_G_Embedd,8,15.491407399587187
1,1_G_Embedd,1,3.7355800222410482
1,1_G_Embedd,2,10.816642666290923
1,1_G_Embedd,3,15.118985209790045
1,1_G_Embedd,4,16.902029460523494
1,1_G_Embedd,5,4.564124270562749
1,1_G_Embedd,6,10.472783603351932
1,1_G_Embedd,7,20.042271078436286
1,1_G_Embedd,8,15.322171341856636
1,2_Embedd,1,2.9531078129658495
1,2_Embedd,2,8.591173503970959
1,2_Embedd,3,15.600277336931942
1,2_Embedd,4,15.733869733531025
1,2_Embedd,5,4.391853149707662
1,2_Embedd,6,9.594266948565027
1,2_Embedd,7,19.201026653735873
1,2_Embedd,8,16.274362268703786
1,0_Embedd,1,3.5688832317817476
1,0_Embedd,2,9.203113963317588
1,0_Embedd,3,15.693062893817554
1,0_Embedd,4,18.055205738652084
1,0_Embedd,5,6.499279421618327
1,0_Embedd,6,17.31263820039555
1,0_Embedd,7,21.154490902476645
1,0_Embedd,8,15.347545147501286
1,1_N_Embedd,1,3.736398822029829
1,1_N_Embedd,2,9.848268200296475
1,1_N_Embedd,3,10.979471679094367
1,1_N_Embedd,4,15.122221981009247
1,1_N_Embedd,5,5.5811325049378135
1,1_N_Embedd,6,16.143208713798078
1,1_N_Embedd,7,20.535287745988548
1,1_N_Embedd,8,15.859702557823407
1,0_Embedd,1,3.7056957514274425
1,0_Embedd,2,11.087665499416403
1,0_Embedd,3,15.118985209790045
1,0_Embedd,4,16.325109603238175
1,0_Embedd,5,4.704899514620246
1,0_Embedd,6,10.159155628490131
1,0_Embedd,7,19.640345869383978
1,0_Embedd,8,14.866949374101207
1,1_N_Embedd,1,2.8040726077195353
