numero,variable,region,surprisal
1,0_NoMM,1,7.57524500277051
1,0_NoMM,2,13.105883795850009
1,0_NoMM,3,15.44763332319168
1,0_NoMM,4,14.124868994542176
1,0_NoMM,5,15.928410797822545
1,0_NoMM,6,17.091536277158426
1,0_NoMM,7,13.40788484415224
1,0_NoMM,8,17.00228995961968
1,0_NoMM,1,3.9023999016985167
1,0_NoMM,2,12.695503563559866
1,0_NoMM,3,13.828132826040425
1,0_NoMM,4,17.572092059277388
1,0_NoMM,5,15.1336226454727
1,0_NoMM,6,17.576655793119258
1,0_NoMM,7,13.69528939970374
1,0_NoMM,8,15.507834097320488
1,0_NoMM,1,3.5571215348270524
1,0_NoMM,2,13.992598141018844
1,0_NoMM,3,18.674546169716244
1,0_NoMM,4,18.443403203466072
1,0_NoMM,5,23.344718014413573
1,0_NoMM,6,17.863434524367182
1,0_NoMM,7,14.606641491532235
1,0_NoMM,8,16.104998923504287
1,0_NoMM,1,2.430184248746361
1,0_NoMM,2,12.663583200634388
1,0_NoMM,3,18.882841401988834
1,0_NoMM,4,18.091863320702238
1,0_NoMM,5,8.210543965017065
1,0_NoMM,6,18.886610574371726
1,0_NoMM,7,13.170278232552917
1,0_NoMM,8,16.422706142338175
1,1_typ,1,5.932748326197398
1,1_typ,2,13.364531621390041
1,1_typ,3,14.155726292266518
1,1_typ,4,16.72367279816135
1,1_typ,5,18.587814856109187
1,1_typ,6,18.336646901791976
1,1_typ,7,12.924695175900448
1,1_typ,8,15.57157643922797
1,1_typ,1,2.2000463117998197
1,1_typ,2,15.62000537874477
1,1_typ,3,19.59893482627044
1,1_typ,4,12.847488460660383
1,1_typ,5,9.418867127841542
1,1_typ,6,13.566173271078435
1,1_typ,7,13.706542243589881
1,1_typ,8,16.607694239330034
1,1_typ,1,1.8251940652407725
1,1_typ,2,13.139235430676932
1,1_typ,3,21.511622169847417
1,1_typ,4,12.383399782302991
1,1_typ,5,19.964281494523238
1,1_typ,6,13.874117871781454
1,1_typ,7,14.558829702647538
1,1_typ,8,16.585718906694428
1,1_typ,1,5.74007144461771
1,1_typ,2,10.38266369851296
1,1_typ,3,13.687808359921986
1,1_typ,4,14.438158771536107
1,1_typ,5,4.890706542094211
1,1_typ,6,19.844722378216417
1,1_typ,7,13.210681782784008
1,1_typ,8,15.915268317863589
1,1_per,1,3.401565448030913
1,1_per,2,13.873175499950698
1,1_per,3,19.89849713189543
1,1_per,4,17.80560502837104
1,1_per,5,23.78441990005216
1,1_per,6,16.02811400140289
1,1_per,7,14.047026860395691
1,1_per,8,16.385047575446933
1,1_per,1,2.8203165309095457
1,1_per,2,14.526556581878406
1,1_per,3,20.64524175057692
1,1_per,4,12.253871368771883
1,1_per,5,20.27852307925443
1,1_per,6,21.649841929081397
1,1_per,7,20.414155497943597
1,1_per,8,16.469450900410198
1,1_per,1,2.3562259239588887
1,1_per,2,12.829125508220226
1,1_per,3,12.75175346685854
1,1_per,4,17.173936576227913
1,1_per,5,11.343257213128291
1,1_per,6,18.34501255855195
1,1_per,7,12.930078114776215
1,1_per,8,16.42176530088974
1,1_per,1,2.374849690528959
1,1_per,2,14.109564169520803
1,1_per,3,18.202203825357373
1,1_per,4,21.226014504807747
1,1_per,5,0.009589131334870079
1,1_per,6,17.040094967178455
1,1_per,7,17.966727069663957
1,1_per,8,16.96933235865687
1,1_num,1,8.48321227329305
1,1_num,2,12.943218592706026
1,1_num,3,14.40356111716666
1,1_num,4,15.957441696555797
1,1_num,5,17.35844862182097
1,1_num,6,17.01437752276587
1,1_num,7,14.541328056723737
1,1_num,8,15.531752959294217
1,1_num,1,3.2591365642654044
1,1_num,2,11.59838062158687
1,1_num,3,14.557874028924754
1,1_num,4,13.139453266503171
1,1_num,5,7.877796660464048
1,1_num,6,15.807838596842815
1,1_num,7,13.675431156472786
1,1_num,8,15.756322039875087
1,1_num,1,3.02286474573167
1,1_num,2,13.824420755336735
1,1_num,3,21.5015124307088
1,1_num,4,16.49899733310217
1,1_num,5,5.4082209867499005
1,1_num,6,17.096210808134803
1,1_num,7,13.809082554393195
1,1_num,8,16.212559006922564
1,1_num,1,2.7578371156310078
1,1_num,2,12.933145951354396
1,1_num,3,19.7439687286027
1,1_num,4,16.85088211569977
1,1_num,5,22.98366861468761
1,1_num,6,17.65932267933761
1,1_num,7,14.179555046039237
1,1_num,8,16.259789683461975
1,1_gen,1,3.9724869312018356
1,1_gen,2,12.102276386408567
1,1_gen,3,13.86812797121454
1,1_gen,4,15.505086079410292
1,1_gen,5,5.679905992749681
1,1_gen,6,18.832998453301382
1,1_gen,7,13.095761382134016
1,1_gen,8,15.822249570883441
1,1_gen,1,4.199972524081874
1,1_gen,2,13.499526066379538
1,1_gen,3,13.456300602589293
1,1_gen,4,15.250425756188715
1,1_gen,5,4.838308825507755
1,1_gen,6,18.642033685751414
1,1_gen,7,12.810155236833873
1,1_gen,8,15.697571503548232
1,1_gen,1,2.899680619498298
1,1_gen,2,14.818606882059642
1,1_gen,3,19.91055291339467
1,1_gen,4,20.98220729285379
1,1_gen,5,30.491009974755038
1,1_gen,6,13.96428384340246
1,1_gen,7,16.42412957468424
1,1_gen,8,15.757268248856695
1,1_gen,1,2.423864917343084
1,1_gen,2,14.815257199748201
1,1_gen,3,19.01232422635727
1,1_gen,4,15.712660317842804
1,1_gen,5,22.78547824806759
1,1_gen,6,17.05232186621694
1,1_gen,7,13.77708219363444
1,1_gen,8,15.709827838406039
1,2_Typ+Num,1,5.740863338051802
1,2_Typ+Num,2,12.417632182970994
